1.894 62.000
2.820 66.000
1.324 40.000
1.618 1.000
3.339 24.000
4.132 24.000
3.269 24.000
3.802 24.000
2.451 24.000
1.859 15.000
1.519 23.000
2.245 24.000
3.448 35.000
1.780 1.000
1.635 36.000
1.530 36.000
1.323 57.000
1.186 57.000
1.335 57.000
1.277 57.000
1.175 57.000
1.203 57.000
1.313 57.000
1.167 57.000
1.196 57.000
1.769 1.000
1.612 1.000
1.943 1.000
1.504 1.000
3.673 1.000
1.530 1.000
1.496 1.000
1.435 1.000
1.737 1.000
1.393 1.000
1.122 57.000
1.238 57.000
1.595 57.000
2.320 1.000
1.268 57.000
1.406 1.000
1.070 63.000
1.219 67.000
1.680 78.000
2.124 1.000
1.905 66.000
1.293 75.000
1.301 63.000
1.770 1.000
1.609 66.000
1.076 74.000
1.469 74.000
1.203 74.000
1.415 74.000
1.103 74.000
1.264 74.000
1.415 74.000
1.666 74.000
1.958 57.000
1.966 57.000
1.895 1.000
2.280 59.000
2.154 68.000
1.269 27.000
1.258 42.000
3.130 1.000
1.684 6.000
2.567 38.000
1.516 57.000
2.266 57.000
1.502 57.000
1.653 57.000
1.596 28.000
1.451 1.000
2.152 16.000
3.111 57.000
2.095 57.000
2.884 1.000
1.891 28.000
1.056 42.000
1.702 42.000
3.333 61.000
1.711 1.000
1.558 1.000
6.318 31.000
2.949 31.000
3.178 25.000
1.421 32.000
2.097 1.000
1.237 25.000
1.663 1.000
1.425 68.000
2.024 68.000
3.118 1.000
2.254 64.000
5.548 58.000
1.197 61.000
1.474 1.000
1.286 46.000
1.416 56.000
1.581 56.000
8.370 43.000
7.702 43.000
1.588 1.000
2.089 17.000
1.441 3.000
2.079 25.000
1.403 3.000
2.295 4.000
2.024 1.000
2.128 1.000
1.061 10.000
1.150 10.000
1.494 1.000
1.426 1.000
1.115 10.000
4.534 3.000
1.269 3.000
1.490 3.000
5.758 3.000
1.648 8.000
1.302 8.000
2.306 8.000
1.289 3.000
1.119 10.000
1.135 10.000
1.103 10.000
1.866 3.000
0.874 10.000
2.656 2.000
1.821 3.000
1.157 10.000
1.433 10.000
1.496 25.000
1.216 25.000
1.645 1.000
1.990 1.000
1.906 1.000
